timestamp,memory_used_MiB,memory_total_MiB,util_gpu_pct
22:14:02.858,3526, 4096, 100
22:14:03.122,3526, 4096, 100
22:14:03.389,3526, 4096, 100
22:14:03.655,3526, 4096, 100
22:14:03.915,3526, 4096, 100
22:14:04.181,3526, 4096, 100
22:14:04.448,3526, 4096, 100
22:14:04.717,3526, 4096, 100
22:14:04.980,3526, 4096, 100
22:14:05.243,3526, 4096, 100
22:14:05.510,3526, 4096, 98
22:14:05.773,3526, 4096, 98
22:14:06.036,3526, 4096, 98
22:14:06.304,3526, 4096, 98
22:14:06.572,3526, 4096, 97
22:14:06.835,3526, 4096, 97
22:14:07.097,3526, 4096, 97
22:14:07.362,3526, 4096, 97
22:14:07.631,3526, 4096, 97
22:14:07.894,3526, 4096, 97
22:14:08.157,3526, 4096, 97
22:14:08.420,3525, 4096, 97
22:14:08.688,3525, 4096, 97
22:14:08.953,3525, 4096, 97
22:14:09.217,3525, 4096, 97
22:14:09.484,3525, 4096, 96
22:14:09.752,3525, 4096, 96
22:14:10.015,3525, 4096, 96
22:14:10.278,3525, 4096, 96
22:14:10.544,3525, 4096, 100
22:14:10.808,3522, 4096, 100
22:14:11.076,3522, 4096, 100
22:14:11.340,3522, 4096, 100
22:14:11.604,3522, 4096, 100
22:14:11.868,3522, 4096, 100
22:14:12.132,3522, 4096, 100
22:14:12.400,3522, 4096, 100
22:14:12.665,3522, 4096, 100
22:14:12.932,3522, 4096, 100
22:14:13.196,3522, 4096, 100
22:14:13.461,3522, 4096, 100
22:14:13.725,3522, 4096, 100
22:14:13.994,3513, 4096, 100
22:14:14.257,3512, 4096, 100
22:14:14.521,3512, 4096, 96
22:14:14.795,3528, 4096, 96
22:14:15.062,3528, 4096, 96
22:14:15.328,3519, 4096, 96
22:14:15.594,3519, 4096, 96
22:14:15.860,3532, 4096, 96
22:14:16.125,3523, 4096, 96
22:14:16.392,3533, 4096, 96
22:14:16.655,3544, 4096, 97
22:14:16.921,3544, 4096, 97
22:14:17.188,3535, 4096, 97
22:14:17.455,3535, 4096, 97
22:14:17.715,3535, 4096, 98
22:14:17.984,3535, 4096, 98
22:14:18.246,3535, 4096, 98
22:14:18.508,3535, 4096, 97
22:14:18.776,3535, 4096, 97
22:14:19.037,3535, 4096, 97
22:14:19.302,3535, 4096, 97
22:14:19.581,3535, 4096, 100
22:14:19.845,3533, 4096, 100
22:14:20.129,3526, 4096, 100
22:14:20.392,3526, 4096, 100
22:14:20.655,3524, 4096, 100
22:14:20.920,3523, 4096, 100
22:14:21.186,3523, 4096, 100
22:14:21.452,3520, 4096, 100
22:14:21.714,3518, 4096, 100
22:14:21.980,3514, 4096, 100
22:14:22.242,3514, 4096, 100
22:14:22.512,3510, 4096, 100
22:14:22.777,3510, 4096, 100
22:14:23.054,3510, 4096, 100
22:14:23.322,3510, 4096, 100
22:14:23.605,3502, 4096, 97
22:14:23.869,3502, 4096, 97
22:14:24.135,3502, 4096, 97
22:14:24.399,3502, 4096, 97
